соответствии				11 16
требованиями				1 1
государственного				2 9
стандарта				1 2
образования				1 4
целью				19 24
закрепления				6 1
приобретения				6 6
практических				3 1
области				4 14
оценки				5 29
основных				155 15
технико				6 1
экономических				8 18
показателей				28 11
характеризующих				3 5
производственно				2 7
деятельность				22 27
фирмы				35 112
Оно				1 1
проведении				1 4
занятий				1 3
рамках				4 21
работы				40 9
Работа				1 3
данным				4 5
освоение				1 3
позволяет				5 35
освоить				1 1
основные				24 24
положения				2 3
В				88 156
результате				8 11
изучения				3 4
данного				4 12
курса				1 1
должны				2 21
–				371 186
особенности				4 17
функционирования				9 4
сложной				1 3
социально				2 11
экономической				7 11
системы				1 26
объекта				9 7
сущность				3 4
категорий				5 2
составляющих				1 5
аппарат				1 1
взаимосвязь				3 1
ними				2 4
законодательные				1 6
акты				1 2
составляющие				1 1
нормативно				3 1
базу				2 2
методики				1 3
решения				10 21
задач				3 8
профессиональной				1 1
деятельности				54 81
способы				3 6
расчета				33 1
основе				24 39
анализа				6 34
правовых				6 3
источников				3 7
анализировать				1 2
информацию				1 9
необходимую				2 1
методик				2 1
эффективности				13 12
использования				66 20
производственных				46 14
ресурсов				16 18
затрат				73 28
результатов				2 10
выбирать				1 3
средства				52 13
обработки				1 2
исходной				3 1
информации				2 79
сбора				1 11
существующих				1 9
способностью				1 2
обоснования				2 2
вариантов				2 6
управленческих				6 4
решений				3 25
повышению				2 3
хозяйственной				12 3
базе				3 5
рассчитанных				1 2
экономики				3 29
организации				45 34
производства				110 87
Г				1 2
обучения				1 1
Роль				1 5
место				1 13
предприятия				126 74
обществе				2 6
Предприятие				13 1
организация				4 8
ту				1 3
иную				1 2
реализации				16 34
своей				3 15
созданный				2 2
продукции				344 73
услуг				15 47
целях				2 4
удовлетворения				5 9
общественных				6 3
потребностей				7 15
получения				8 11
прибыли				59 29
представляет				9 25
собой				10 29
этим				1 7
прежде				3 15
основной				10 9
которой				7 27
является				26 90
производственная				12 1
производство				30 30
выполнение				8 2
либо				8 34
систематическое				3 3
получение				4 5
Фирма				7 11
это				44 79
структурная				1 1
юридически				1 1
внешнеэкономической				1 11
среде				1 5
посредством				2 6
продажи				8 38
товаров				7 109
капиталом				7 1
могут				26 76
крупные				2 6
организационные				4 1
формы				13 35
коммерческой				1 6
выделяют				4 6
понятие				2 7
понятия				1 2
Существуют				2 2
которых				22 36
также				18 91
достижение				2 5
эффекта				5 1
социального				1 3
экологического				1 1
т				48 90
д				25 41
время				14 27
осуществлять				3 7
получать				3 3
прибыль				92 9
своих				11 25
целей				8 30
Понятие				4 5
существуют				8 11
Это				4 30
людьми				1 2
взаимоотношениях				1 1
Основная				4 6
идея				1 2
объединение				5 3
усилий				1 7
лиц				14 8
одной				3 30
главной				2 1
достижения				2 15
цели				14 27
Их				5 2
осуществляться				1 5
различных				9 37
сферах				1 2
коммерческие				12 4
культурной				1 7
социальной				1 2
научной				1 1
др				3 20
Если				12 18
участники				8 2
имеют				2 21
общей				12 6
существует				2 9
выполняется				1 1
условие				1 1
создания				6 8
обобщенном				1 1
виде				9 16
целями				1 3
являются				14 62
создание				2 23
результата				3 2
участников				20 9
остальных				1 4
внешних				4 18
обладает				1 3
соответствующих				3 4
отношений				1 23
рассматривается				1 3
юридическое				1 1
лицо				3 2
внимание				2 8
экономический				1 6
аспект				1 1
фирма				6 42
представлять				1 4
предприятие				28 21
С				11 14
точки				5 13
зрения				1 13
единица				2 1
ресурсы				4 10
факторы				12 43
изготовления				10 2
обеспечить				2 16
единицы				41 4
правовые				5 3
учетом				8 33
положений				2 1
закона				1 3
изменений				2 9
главу				1 1
части				11 6
первой				2 1
Российской				7 1
силу				2 5
отдельных				9 33
законодательных				1 3
актов				1 3
юридические				3 4
лица				10 6
организациями				6 6
следующих				11 7
форм				7 9
рис				6 9
хозяйственных				8 1
обществ				6 1
государственных				2 16
предприятий				13 24
Рис				12 12
коммерческих				6 9
организаций				12 16
потребительских				4 9
которым				8 7
относятся				26 27
числе				18 5
потребительские				2 4
общества				18 11
фонды				8 1
политические				1 6
партии				1 3
качестве				6 17
юридических				5 2
профессиональные				1 1
общественные				4 1
органы				1 2
общественной				1 6
объединения				3 3
профессиональных				1 1
палаты				1 1
собственников				4 1
недвижимости				1 1
жилья				1 1
государственный				1 2
народов				1 1
фондов				10 1
учреждений				2 1
государственные				4 7
учреждения				4 2
некоммерческих				1 1
религиозных				1 1
компаний				1 35
Некоммерческие				3 1
доход				7 5
лишь				8 14
поскольку				3 10
служит				5 3
достижению				2 1
ради				1 1
соответствует				1 8
Таблица				30 16
Структура				6 2
организационно				10 3
наименование				3 1
Определение				3 13
Коммерческие				2 1
капитал				13 5
разделены				2 1
доли				8 22
имени				2 5
предпринимательской				6 2
деятельностью				3 4
несут				7 1
ответственность				10 5
своими				4 3
котором				3 6
наряду				2 1
имеется				1 2
хотя				1 2
участник				1 1
другого				1 1
типа				8 9
—				11 129
несет				4 2
риск				5 11
своего				3 10
Общество				1 1
общество				28 2
отвечают				1 1
акции				12 1
путем				7 18
открытой				1 1
обращаются				1 1
условиях				7 32
установленных				3 1
законами				1 1
ценных				2 1
акционерное				8 2
применяются				1 9
акционерным				2 1
обществам				1 1
содержат				1 3
стоимости				38 8
акций				10 3
Акционерное				1 1
которое				3 14
отвечает				3 4
признакам				5 8
признается				8 2
иного				2 1
определяются				3 6
другим				3 3
обществом				7 3
участия				2 4
уставном				5 1
капитале				7 2
согласно				3 2
договору				2 1
иным				2 1
основного				4 6
другое				1 4
имеет				13 27
%				109 7
акционерного				2 2
капитала				9 20
Производственные				5 1
граждан				3 5
производственной				18 2
иной				2 12
участии				1 3
собственности				15 22
праве				3 1
Государственное				1 1
управления				14 15
имущества				3 1
государственной				3 11
решению				3 2
Окончание				6 3
Потребительский				1 1
религиозные				1 2
ведения				1 4
местного				2 8
Правовая				1 2
форма				2 22
момента				3 1
регистрации				2 2
принятия				2 17
управлению				3 2
полную				9 2
члены				3 1
участие				2 5
По				22 20
материальных				13 3
иных				7 5
вида				26 10
голоса				2 1
право				3 11
законом				1 1
случаях				1 9
интересов				2 6
нематериальных				2 2
Организация				3 3
имеющая				1 2
гражданами				1 1
лицами				2 1
социальные				15 2
культурные				2 9
иные				5 2
заниматься				1 2
осуществления				5 13
функций				2 4
характера				6 16
полностью				5 3
координации				1 1
защиты				1 6
ассоциации				1 1
самостоятельность				3 1
права				5 13
юридического				1 2
модели				3 4
условий				9 27
соответствующие				3 10
даны				2 1
выбор				5 20
той				4 12
целом				6 23
наблюдается				2 6
следующая				2 1
выше				3 9
потенциал				1 3
степень				4 15
доверия				2 1
нему				1 1
стороны				5 29
численность				63 3
территория				1 2
объектов				4 5
производством				9 8
создавать				1 4
формой				3 3
числом				2 2
членов				4 1
наоборот				3 3
дочернее				2 1
параметры				2 3
данной				6 31
Численность				12 1
превышает				3 4
считают				3 2
дело				2 1
риском				1 1
поэтому				2 7
хотят				11 1
рамками				1 1
участвовать				5 1
общее				4 3
недостаточно				3 1
ведение				1 1
случае				6 21
выхода				3 15
получить				3 12
долю				5 11
вклад				2 1
Среди				1 3
увеличить				9 2
контролировать				4 2
вместе				1 1
нести				3 1
хозяйства				6 2
объекты				3 3
разбросаны				1 1
разным				2 4
ограничена				2 1
предпочитают				1 4
вложения				2 1
первую				2 2
очередь				1 7
руководители				5 1
сохранить				1 1
свой				2 9
влияния				3 7
приобрести				1 4
значительный				1 1
пакет				1 1
движение				2 3
Часть				2 1
приобретая				2 1
иметь				5 14
возможно				3 4
небольшой				2 1
Некоторые				3 2
правило				4 17
постепенно				2 1
голосующие				2 1
работу				16 3
значительные				2 1
У				3 3
необходимости				3 6
смогут				2 1
быстро				3 9
выгодно				2 2
продать				2 1
свои				3 27
состав				18 8
заранее				1 6
определенным				1 5
кругом				1 1
сторону				2 2
усмотрению				2 1
распоряжаться				1 1
вмешательства				1 1
других				15 33
удобной				1 1
надежной				1 1
средств				256 29
необходимым				1 1
обычно				2 24
начать				1 2
новое				2 3
часть				15 16
капиталов				2 8
риска				3 17
несколько				3 11
повысить				4 3
управляемость				1 2
сохраняя				1 2
большая				1 4
площадь				1 1
